code,city_code,name,yomi,prefecture_code,subprefecture_code,county_code,valid_from,valid_to
01201_initial,01201,札幌市,さっぽろし,01,01011,,,
01202_19731201,01202,函館市,はこだてし,01,,,1973-12-01,2004-12-01
01202_20041201,01202,函館市,はこだてし,01,01009,,2004-12-01,
01202_initial,01202,函館市,はこだてし,01,,,,1973-12-01
01203_initial,01203,小樽市,おたるし,01,01005,,,
01204_19710302,01204,旭川市,あさひかわし,01,01002,,1971-03-02,
01204_initial,01204,旭川市,あさひかわし,01,,,,1971-03-02
01205_initial,01205,室蘭市,むろらんし,01,01013,,,
01206_20051011,01206,釧路市,くしろし,01,01014,,2005-10-11,
01206_initial,01206,釧路市,くしろし,01,,,,2005-10-11
01207_initial,01207,帯広市,おびひろし,01,01003,,,
01208_20060305,01208,北見市,きたみし,01,01001,,2006-03-05,
01208_initial,01208,北見市,きたみし,01,,,,2006-03-05
01209_initial,01209,夕張市,ゆうばりし,01,01012,,,
01210_20060327,01210,岩見沢市,いわみざわし,01,01012,,2006-03-27,
01210_initial,01210,岩見沢市,いわみざわし,01,,,,2006-03-27
01211_initial,01211,網走市,あばしりし,01,01001,,,
01212_initial,01212,留萌市,るもいし,01,01010,,,
01213_initial,01213,苫小牧市,とまこまいし,01,01013,,,
01214_initial,01214,稚内市,わっかないし,01,01004,,,
01215_initial,01215,美唄市,びばいし,01,01012,,,
01216_initial,01216,芦別市,あしべつし,01,01012,,,
01217_initial,01217,江別市,えべつし,01,01011,,,
01218_initial,01218,赤平市,あかびらし,01,01012,,,
01219_initial,01219,紋別市,もんべつし,01,01001,,,
01220_20050901,01220,士別市,しべつし,01,01002,,2005-09-01,
01220_initial,01220,士別市,しべつし,01,,,,2005-09-01
01221_20060327,01221,名寄市,なよろし,01,01002,,2006-03-27,
01221_initial,01221,名寄市,なよろし,01,,,,2006-03-27
01222_initial,01222,三笠市,みかさし,01,01012,,,
01223_initial,01223,根室市,ねむろし,01,01007,,,
01224_initial,01224,千歳市,ちとせし,01,01011,,,
01225_19710401,01225,滝川市,たきかわし,01,01012,,1971-04-01,
01225_initial,01225,滝川市,たきかわし,01,,,,1971-04-01
01226_initial,01226,砂川市,すながわし,01,01012,,,
01227_initial,01227,歌志内市,うたしないし,01,01012,,,
01228_initial,01228,深川市,ふかがわし,01,01012,,,
01229_initial,01229,富良野市,ふらのし,01,01002,,,
