code,name,yomi,prefecture_code
01001,日高支庁,ひだかしちょう,01
01002,網走支庁,あばしりしちょう,01
01003,胆振支庁,いぶりしちょう,01
01004,渡島支庁,おしましちょう,01
01005,十勝支庁,とかちしちょう,01
01006,上川支庁,かみかわしちょう,01
01007,空知支庁,そらちしちょう,01
01008,札幌市,さっぽろし,01
01009,釧路支庁,くしろしちょう,01
01010,石狩支庁,いしかりしちょう,01
01011,後志支庁,しりべししちょう,01
01012,檜山支庁,ひやましちょう,01
01013,根室支庁,ねむろしちょう,01
01014,宗谷支庁,そうやしちょう,01
01015,留萌支庁,るもいしちょう,01
02001,西津軽郡,にしつがるぐん,02
02002,上北郡,かみきたぐん,02
02003,北津軽郡,きたつがるぐん,02
02004,三戸郡,さんのへぐん,02
02005,下北郡,しもきたぐん,02
02006,東津軽郡,ひがしつがるぐん,02
02007,南津軽郡,みなみつがるぐん,02
02008,中津軽郡,なかつがるぐん,02
03001,胆沢郡,いさわぐん,03
03002,二戸郡,にのへぐん,03
03003,岩手郡,いわてぐん,03
03004,東磐井郡,ひがしいわいぐん,03
03005,和賀郡,わがぐん,03
03006,九戸郡,くのへぐん,03
03007,気仙郡,けせんぐん,03
03008,稗貫郡,ひえぬきぐん,03
03009,下閉伊郡,しもへいぐん,03
03010,西磐井郡,にしいわいぐん,03
03011,紫波郡,しわぐん,03
03012,上閉伊郡,かみへいぐん,03
04001,牡鹿郡,おしかぐん,04
04002,本吉郡,もとよしぐん,04
04003,栗原郡,くりはらぐん,04
04004,登米郡,とめぐん,04
04005,仙台市,せんだいし,04
04006,遠田郡,とおだぐん,04
04007,加美郡,かみぐん,04
04008,桃生郡,ものうぐん,04
04009,宮城郡,みやぎぐん,04
04010,名取郡,なとりぐん,04
04011,志田郡,しだぐん,04
04012,黒川郡,くろかわぐん,04
04013,玉造郡,たまつくりぐん,04
05001,南秋田郡,みなみあきたぐん,05
05002,平鹿郡,ひらかぐん,05
05003,由利郡,ゆりぐん,05
05004,仙北郡,せんぼくぐん,05
05005,鹿角郡,かづのぐん,05
05006,河辺郡,かわべぐん,05
05007,山本郡,やまもとぐん,05
05008,北秋田郡,きたあきたぐん,05
05009,雄勝郡,おがちぐん,05
06001,東田川郡,ひがしたがわぐん,06
06002,飽海郡,あくみぐん,06
06003,西田川郡,にしたがわぐん,06
07001,相馬郡,そうまぐん,07
07002,伊達郡,だてぐん,07
07003,田村郡,たむらぐん,07
07004,安達郡,あだちぐん,07
07005,耶麻郡,やまぐん,07
07006,石川郡,いしかわぐん,07
07007,東白川郡,ひがししらかわぐん,07
07008,西白河郡,にししらかわぐん,07
07009,大沼郡,おおぬまぐん,07
07010,河沼郡,かわぬまぐん,07
07011,岩瀬郡,いわせぐん,07
07012,南会津郡,みなみあいづぐん,07
07013,北会津郡,きたあいづぐん,07
