id,name,yomi,prefecture_code
M00001,札幌市,さっぽろし,01
M00002,函館市,はこだてし,01
M00003,小樽市,おたるし,01
M00004,旭川市,あさひかわし,01
M00005,室蘭市,むろらんし,01
M00006,釧路市,くしろし,01
M00007,帯広市,おびひろし,01
M00008,北見市,きたみし,01
M00009,夕張市,ゆうばりし,01
M00010,岩見沢市,いわみざわし,01
M00011,網走市,あばしりし,01
M00012,留萌市,るもいし,01
M00013,苫小牧市,とまこまいし,01
M00014,稚内市,わっかないし,01
M00015,美唄市,びばいし,01
M00016,芦別市,あしべつし,01
M00017,江別市,えべつし,01
M00018,赤平市,あかびらし,01
M00019,紋別市,もんべつし,01
M00020,士別市,しべつし,01
M00021,名寄市,なよろし,01
M00022,三笠市,みかさし,01
M00023,根室市,ねむろし,01
M00024,千歳市,ちとせし,01
M00025,滝川市,たきかわし,01
M00026,砂川市,すながわし,01
M00027,歌志内市,うたしないし,01
M00028,深川市,ふかがわし,01
M00029,富良野市,ふらのし,01
M00030,登別市,のぼりべつし,01
M00031,恵庭市,えにわし,01
M00032,亀田市,かめだし,01
M00033,伊達市,だてし,01
M00034,北広島市,きたひろしまし,01
M00035,石狩市,いしかりし,01
M00036,北斗市,ほくとし,01
M00039,当別町,とうべつちょう,01
M00040,新篠津村,しんしのつむら,01
M00041,厚田村,あつたむら,01
M00042,浜益村,はまますむら,01
M00044,松前町,まつまえちょう,01
M00045,福島町,ふくしまちょう,01
M00046,知内町,しりうちちょう,01
M00047,木古内町,きこないちょう,01
M00048,上磯町,かみいそちょう,01
M00049,大野町,おおのちょう,01
M00050,七飯町,ななえちょう,01
M00052,戸井町,といちょう,01
M00054,恵山町,えさんちょう,01
M00055,椴法華村,とどほっけむら,01
M00056,南茅部町,みなみかやべちょう,01
M00058,鹿部町,しかべちょう,01
M00060,砂原町,さわらちょう,01
M00061,森町,もりまち,01
M00062,八雲町,やくもちょう,01
M00063,長万部町,おしゃまんべちょう,01
M00064,江差町,えさしちょう,01
M00065,上ノ国町,かみのくにちょう,01
M00066,厚沢部町,あっさぶちょう,01
M00067,乙部町,おとべちょう,01
M00068,熊石町,くまいしちょう,01
M00069,大成町,たいせいちょう,01
M00070,奥尻町,おくしりちょう,01
M00071,瀬棚町,せたなちょう,01
M00072,北檜山町,きたひやまちょう,01
M00073,今金町,いまかねちょう,01
M00074,せたな町,せたなちょう,01
M00075,島牧村,しままきむら,01
M00076,寿都町,すっつちょう,01
