id,municipality_id,city_code,subprefecture_code,county_code,valid_from,valid_to
01201_initial,M00001,01201,01011,,,
01202_initial,M00002,01202,,,,1973-12-01
01202_19731201,M00002,01202,,,1973-12-01,2004-12-01
01202_20041201,M00002,01202,01009,,2004-12-01,
01203_initial,M00003,01203,01005,,,
01204_initial,M00004,01204,,,,1971-03-02
01204_19710302,M00004,01204,01002,,1971-03-02,
01205_initial,M00005,01205,01013,,,
01206_initial,M00006,01206,,,,2005-10-11
01206_20051011,M00006,01206,01014,,2005-10-11,
01207_initial,M00007,01207,01003,,,
01208_initial,M00008,01208,,,,2006-03-05
01208_20060305,M00008,01208,01001,,2006-03-05,
01209_initial,M00009,01209,01012,,,
01210_initial,M00010,01210,,,,2006-03-27
01210_20060327,M00010,01210,01012,,2006-03-27,
01211_initial,M00011,01211,01001,,,
01212_initial,M00012,01212,01010,,,
01213_initial,M00013,01213,01013,,,
01214_initial,M00014,01214,01004,,,
01215_initial,M00015,01215,01012,,,
01216_initial,M00016,01216,01012,,,
01217_initial,M00017,01217,01011,,,
01218_initial,M00018,01218,01012,,,
01219_initial,M00019,01219,01001,,,
01220_initial,M00020,01220,,,,2005-09-01
01220_20050901,M00020,01220,01002,,2005-09-01,
01221_initial,M00021,01221,,,,2006-03-27
01221_20060327,M00021,01221,01002,,2006-03-27,
01222_initial,M00022,01222,01012,,,
01223_initial,M00023,01223,01007,,,
01224_initial,M00024,01224,01011,,,
01225_initial,M00025,01225,,,,1971-04-01
01225_19710401,M00025,01225,01012,,1971-04-01,
01226_initial,M00026,01226,01012,,,
01227_initial,M00027,01227,01012,,,
01228_initial,M00028,01228,01012,,,
01229_initial,M00029,01229,01002,,,
01230_19700801,M00030,01230,01013,,1970-08-01,
01231_19701101,M00031,01231,01011,,1970-11-01,
01232_19711101,M00032,01232,,,1971-11-01,1973-12-01
01233_19720401,M00033,01233,,,1972-04-01,2006-03-01
01233_20060301,M00033,01233,01013,,2006-03-01,
01234_19960901,M00034,01234,01011,,1996-09-01,
01235_19960901,M00035,01235,,,1996-09-01,2005-10-01
01235_20051001,M00035,01235,01011,,2005-10-01,
01236_20060201,M00036,01236,01009,,2006-02-01,
01301_initial,M00037,01301,,01001,,1996-09-01
01302_initial,M00038,01302,,,,1996-09-01
01303_initial,M00039,01303,01011,01016,,
01304_initial,M00040,01304,01011,01016,,
01305_initial,M00041,01305,,01077,,2005-10-01
01306_initial,M00042,01306,,01078,,2005-10-01
01307_initial,M00043,01307,,01002,,1970-11-01
01331_initial,M00044,01331,01009,01017,,
01332_initial,M00045,01332,01009,01017,,
01333_initial,M00046,01333,01009,01018,,
01334_initial,M00047,01334,01009,01018,,
01335_initial,M00048,01335,,01018,,2006-02-01
01336_initial,M00049,01336,,01019,,2006-02-01
01337_initial,M00050,01337,01009,01019,,
01338_initial,M00051,01338,,01019,,1971-11-01
01339_initial,M00052,01339,,01019,,2004-12-01
01340_initial,M00053,01340,,01019,,1985-04-01
01340_19850401,M00054,01340,,01019,1985-04-01,2004-12-01
01341_initial,M00055,01341,,01019,,2004-12-01
01342_initial,M00056,01342,,01020,,2004-12-01
01343_initial,M00057,01343,01009,01020,,1983-12-01
01343_19831201,M00058,01343,01009,01020,1983-12-01,
01344_initial,M00059,01344,,01020,,1970-09-01
01344_19700901,M00060,01344,,01020,1970-09-01,2005-04-01
01345_initial,M00061,01345,01009,01020,,2005-04-01
01345_20050401,M00061,01345,01009,01020,2005-04-01,
01346_initial,M00062,01346,01009,01021,,2005-10-01
01346_20051001,M00062,01346,01009,01021,2005-10-01,
01347_initial,M00063,01347,01009,01022,,
01361_initial,M00064,01361,01008,01023,,
01362_initial,M00065,01362,01008,01023,,
01363_initial,M00066,01363,01008,01023,,
01364_initial,M00067,01364,01008,01024,,
01365_initial,M00068,01365,,01024,,2005-10-01
01366_initial,M00069,01366,,01025,,2005-09-01
01367_initial,M00070,01367,01008,01026,,
01368_initial,M00071,01368,,01079,,2005-09-01
01369_initial,M00072,01369,,01079,,2005-09-01
01370_initial,M00073,01370,01008,01025,,
01371_20050901,M00074,01371,01008,01025,2005-09-01,
01391_initial,M00075,01391,01005,01034,,
01392_initial,M00076,01392,01005,01035,,
01393_initial,M00077,01393,01005,01035,,
01394_initial,M00078,01394,01005,01036,,
01395_initial,M00079,01395,01005,01028,,
01396_initial,M00080,01396,01005,01028,,
01397_initial,M00081,01397,01005,01028,,
01398_initial,M00082,01398,01005,01028,,
01399_initial,M00083,01399,01005,01028,,
01400_initial,M00084,01400,01005,01028,,
01401_initial,M00085,01401,01005,01029,,1971-04-01
01401_19710401,M00086,01401,01005,01029,1971-04-01,
01402_initial,M00087,01402,01005,01029,,
01403_initial,M00088,01403,01005,01030,,
01404_initial,M00089,01404,01005,01030,,
01405_initial,M00090,01405,01005,01031,,
01406_initial,M00091,01406,01005,01032,,
01407_initial,M00092,01407,01005,01033,,
01408_initial,M00093,01408,01005,01033,,
01409_initial,M00094,01409,01005,01033,,
01421_initial,M00095,01421,,01037,,2006-03-27
01422_initial,M00096,01422,,01037,,2006-03-27
01423_initial,M00097,01423,01012,01038,,
01424_initial,M00098,01424,01012,01038,,
01425_initial,M00099,01425,01012,01038,,
01426_initial,M00100,01426,,01037,,1971-04-01
01427_initial,M00101,01427,01012,01039,,
01428_initial,M00102,01428,01012,01039,,
01429_initial,M00103,01429,01012,01039,,
01430_initial,M00104,01430,01012,01040,,
01431_initial,M00105,01431,01012,01040,,
01432_initial,M00106,01432,01012,01040,,
01433_initial,M00107,01433,01012,01040,,
01434_initial,M00108,01434,01012,01040,,
01436_initial,M00109,01436,01012,01040,,
01437_initial,M00110,01437,01012,01040,,
01438_initial,M00111,01438,01012,01040,,
01439_initial,M00112,01439,01012,01040,,2010-04-01
01472_20100401,M00112,01472,01002,01040,2010-04-01,
01451_initial,M00113,01451,,01041,,1971-03-02
01452_initial,M00114,01452,01002,01041,,
