code,name,yomi,prefecture_code
01001,オホーツク総合振興局,おほーつくそうごうしんこうきょく,01
01002,上川総合振興局,かみかわそうごうしんこうきょく,01
01003,十勝総合振興局,とかちそうごうしんこうきょく,01
01004,宗谷総合振興局,そうやそうごうしんこうきょく,01
01005,後志総合振興局,しりべしそうごうしんこうきょく,01
01006,日高振興局,ひだかしんこうきょく,01
01007,根室振興局,ねむろしんこうきょく,01
01008,檜山振興局,ひやましんこうきょく,01
01009,渡島総合振興局,おしまそうごうしんこうきょく,01
01010,留萌振興局,るもいしんこうきょく,01
01011,石狩振興局,いしかりしんこうきょく,01
01012,空知総合振興局,そらちそうごうしんこうきょく,01
01013,胆振総合振興局,いぶりそうごうしんこうきょく,01
01014,釧路総合振興局,くしろそうごうしんこうきょく,01
03001,沿岸広域振興局,えんがんこういきしんこうきょく,03
03002,盛岡広域振興局,もりおかこういきしんこうきょく,03
03003,県北広域振興局,けんぽくこういきしんこうきょく,03
03004,県南広域振興局,けんなんこういきしんこうきょく,03
04001,大河原地方振興事務所,おおがわらちほうしんこうじむしょ,04
04002,仙台地方振興事務所,せんだいちほうしんこうじむしょ,04
04003,北部地方振興事務所,ほくぶちほうしんこうじむしょ,04
04006,東部地方振興事務所,とうぶちほうしんこうじむしょ,04
04007,気仙沼地方振興事務所,けせんぬまちほうしんこうじむしょ,04
06001,村山総合支庁,むらやまそうごうしちょう,06
06002,最上総合支庁,もがみそうごうしちょう,06
06003,置賜総合支庁,おきたまそうごうしちょう,06
06004,庄内総合支庁,しょうないそうごうしちょう,06
13001,三宅支庁,みやけしちょう,13
13002,八丈支庁,はちじょうしちょう,13
13003,大島支庁,おおしましちょう,13
13004,小笠原支庁,おがさわらしちょう,13
20001,佐久地域振興局,さくちいきしんこうきょく,20
20002,上田地域振興局,うえだちいきしんこうきょく,20
20003,諏訪地域振興局,すわちいきしんこうきょく,20
20004,上伊那地域振興局,かみいなちいきしんこうきょく,20
20005,南信州地域振興局,みなみしんしゅうちいきしんこうきょく,20
20006,木曽地域振興局,きそちいきしんこうきょく,20
20007,松本地域振興局,まつもとちいきしんこうきょく,20
20008,北アルプス地域振興局,きたあるぷすちいきしんこうきょく,20
20009,長野地域振興局,ながのちいきしんこうきょく,20
20010,北信地域振興局,ほくしんちいきしんこうきょく,20
26001,山城広域振興局,やましろこういきしんこうきょく,26
26002,南丹広域振興局,なんたんこういきしんこうきょく,26
26003,中丹広域振興局,ちゅうたんこういきしんこうきょく,26
26004,丹後広域振興局,たんごこういきしんこうきょく,26
28001,淡路県民局,あわじけんみんきょく,28
28002,北播磨県民局,きたはりまけんみんきょく,28
28003,神戸県民センター,こうべけんみんせんたー,28
28004,但馬県民局,たじまけんみんきょく,28
28005,丹波県民局,たんばけんみんきょく,28
28006,中播磨県民センター,なかはりまけんみんせんたー,28
28007,西播磨県民局,にしはりまけんみんきょく,28
28008,阪神北県民局,はんしんきたけんみんきょく,28
28009,阪神南県民センター,はんしんみなみけんみんせんたー,28
28010,東播磨県民局,ひがしはりまけんみんきょく,28
32001,隠岐支庁,おきしちょう,32
38001,中予地方局,ちゅうよちほうきょく,38
38002,東予地方局,とうよちほうきょく,38
38003,南予地方局,なんよちほうきょく,38
42001,長崎振興局,ながさきしんこうきょく,42
42002,県央振興局,けんおうしんこうきょく,42
42003,県北振興局,けんぽくしんこうきょく,42
42004,島原振興局,しまばらしんこうきょく,42
42005,五島振興局,ごとうしんこうきょく,42
42006,壱岐振興局,いきしんこうきょく,42
42007,対馬振興局,つしましんこうきょく,42
42008,上五島振興局,かみごとうしんこうきょく,42
45001,西臼杵支庁,にしうすきしちょう,45
46001,大島支庁,おおしましちょう,46
46002,熊毛支庁,くまげしちょう,46
46003,鹿児島地域振興局,かごしまちいきしんこうきょく,46
46004,南薩地域振興局,なんさつちいきしんこうきょく,46
46005,北薩地域振興局,ほくさつちいきしんこうきょく,46
46006,姶良・伊佐地域振興局,あいら・いさちいきしんこうきょく,46
46007,大隅地域振興局,おおすみちいきしんこうきょく,46
